
2024/10/24 (22:06:09) | ===> btop++ v.1.4.0
2024/10/24 (22:06:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (22:06:34) | ===> btop++ v.1.4.0
2024/10/24 (22:06:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (15:48:05) | ===> btop++ v.1.4.0
2024/11/09 (15:48:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (15:53:57) | ===> btop++ v.1.4.0
2024/11/09 (15:53:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (18:30:10) | ===> btop++ v.1.4.0
2024/11/09 (18:30:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (18:30:29) | ===> btop++ v.1.4.0
2024/11/09 (18:30:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:00:54) | ===> btop++ v.1.4.0
2024/11/09 (21:00:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:01:28) | ===> btop++ v.1.4.0
2024/11/09 (21:01:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:03:37) | ===> btop++ v.1.4.0
2024/11/09 (21:03:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:04:30) | ===> btop++ v.1.4.0
2024/11/09 (21:04:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (21:04:46) | ===> btop++ v.1.4.0
2024/11/09 (21:04:46) | WARNING: Intel GPU: Failed to initialize PMU
