
2024/02/28 (05:54:19) | ===> btop++ v.1.3.2
2024/02/28 (05:54:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/28 (05:54:27) | ===> btop++ v.1.3.2
2024/02/28 (05:54:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (05:24:53) | ===> btop++ v.1.3.2
2024/03/02 (05:24:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (05:25:26) | ===> btop++ v.1.3.2
2024/03/02 (05:25:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/02 (06:10:03) | ===> btop++ v.1.3.2
2024/03/02 (06:10:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (02:10:39) | ===> btop++ v.1.3.2
2024/03/09 (02:10:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (02:17:03) | ===> btop++ v.1.3.2
2024/03/09 (02:17:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/09 (02:17:26) | ===> btop++ v.1.3.2
2024/03/09 (02:17:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
